,train,val,test
0,LUAD340,LUSC491,LUSC466
1,LUSC382,LUSC212,LUSC256
2,LUAD493,LUAD368,LUAD477
3,LUSC341,LUAD501,LUAD28
4,LUAD235,LUAD452,LUSC181
5,LUSC337,LUSC269,LUSC303
6,LUAD10,LUAD112,LUAD474
7,LUAD132,LUAD291,LUAD140
8,LUSC60,LUAD425,LUSC397
9,LUSC422,LUAD64,LUAD278
10,LUAD307,LUAD373,LUAD141
11,LUSC21,LUAD210,LUSC197
12,LUAD53,LUSC1,LUSC87
13,LUSC360,LUSC46,LUSC183
14,LUSC502,LUAD391,LUSC32
15,LUSC66,LUSC57,LUAD80
16,LUSC122,LUAD32,LUAD221
17,LUAD82,LUSC179,LUAD495
18,LUAD530,LUSC89,LUAD249
19,LUAD298,LUAD459,LUSC477
20,LUAD262,LUSC234,LUAD393
21,LUSC369,LUAD479,LUSC351
22,LUSC296,LUAD144,LUSC326
23,LUAD327,LUSC202,LUAD284
24,LUSC257,LUSC285,LUSC155
25,LUSC476,LUSC311,LUAD267
26,LUSC142,LUSC312,LUSC99
27,LUAD35,LUAD336,LUAD483
28,LUSC72,LUSC426,LUSC205
29,LUAD399,LUAD22,LUSC299
30,LUSC114,LUSC367,LUSC233
31,LUAD513,LUAD386,LUSC411
32,LUSC505,LUAD454,LUAD285
33,LUSC157,LUAD24,LUAD42
34,LUSC370,LUSC245,LUAD514
35,LUAD317,LUAD161,LUSC8
36,LUAD430,LUSC265,LUAD354
37,LUAD417,LUSC14,LUAD313
38,LUAD3,LUSC216,LUSC425
39,LUSC439,LUAD224,LUAD191
40,LUAD300,LUAD34,LUAD318
41,LUSC490,LUAD37,LUSC193
42,LUSC432,LUSC346,LUAD218
43,LUSC450,LUSC120,LUSC86
44,LUSC110,LUSC201,LUAD529
45,LUSC16,LUSC20,LUAD441
46,LUAD384,LUSC77,LUSC18
47,LUSC509,LUSC35,LUSC498
48,LUAD97,LUAD156,LUSC15
49,LUAD405,LUAD195,LUSC421
50,LUSC85,LUSC82,LUAD229
51,LUAD90,LUSC237,LUSC11
52,LUAD329,LUSC494,LUSC103
53,LUAD306,LUAD162,LUSC252
54,LUSC401,LUSC112,LUAD379
55,LUSC189,LUAD282,LUSC117
56,LUSC145,LUSC407,LUSC512
57,LUSC443,LUAD402,LUSC459
58,LUAD168,LUSC455,LUAD511
59,LUSC433,LUSC444,LUAD206
60,LUSC442,LUAD394,LUSC133
61,LUAD170,LUAD406,LUSC43
62,LUSC400,LUAD176,LUAD6
63,LUAD254,LUAD326,LUSC316
64,LUSC325,LUAD19,LUAD309
65,LUAD181,LUAD389,LUAD385
66,LUAD119,LUSC376,LUSC273
67,LUSC95,LUSC132,LUSC146
68,LUAD439,LUAD316,LUAD148
69,LUSC304,LUSC348,LUAD177
70,LUAD219,LUAD438,LUAD255
71,LUAD199,LUAD208,LUSC406
72,LUSC271,LUAD331,LUAD516
73,LUSC314,LUAD107,LUAD204
74,LUAD109,LUSC246,LUAD85
75,LUAD84,LUSC7,LUSC121
76,LUAD184,LUAD52,LUSC63
77,LUSC441,LUSC149,LUSC38
78,LUAD424,LUSC413,LUSC84
79,LUSC467,LUSC484,LUSC148
80,LUSC357,LUSC384,LUSC184
81,LUAD374,LUSC141,LUSC81
82,LUAD396,LUAD488,LUAD54
83,LUAD277,LUAD335,LUSC398
84,LUSC371,LUAD409,LUAD462
85,LUSC125,LUSC473,LUSC10
86,LUSC259,LUAD18,LUAD341
87,LUSC266,LUAD81,LUAD232
88,LUAD187,LUSC368,LUAD212
89,LUAD153,LUAD344,LUAD108
90,LUSC485,LUSC240,LUAD231
91,LUAD413,LUSC127,LUSC447
92,LUSC143,LUSC227,LUAD256
93,LUAD304,LUAD466,LUAD497
94,LUAD367,LUSC277,LUAD266
95,LUSC67,LUSC347,LUSC139
96,LUSC191,LUSC470,LUSC359
97,LUAD472,LUAD111,LUSC196
98,LUSC220,LUSC126,LUAD240
99,LUSC323,LUAD410,LUAD319
100,LUSC438,LUAD146,LUSC448
101,LUSC333,LUSC244,LUAD66
102,LUAD253,LUAD347,LUSC203
103,LUSC264,LUAD339,LUAD207
104,LUAD453,,LUSC492
105,LUAD233,,LUSC286
106,LUSC34,,LUAD323
107,LUSC108,,LUSC64
108,LUSC3,,LUAD503
109,LUAD151,,LUAD182
110,LUSC73,,LUSC321
111,LUSC92,,LUAD69
112,LUSC151,,LUSC427
113,LUSC83,,LUSC410
114,LUAD498,,LUAD382
115,LUSC345,,LUAD505
116,LUAD147,,LUAD348
117,LUAD93,,LUAD8
118,LUAD297,,LUSC463
119,LUAD500,,LUSC272
120,LUAD122,,LUSC474
121,LUSC267,,LUAD303
122,LUAD150,,LUAD104
123,LUAD527,,LUAD492
124,LUAD490,,LUSC372
125,LUSC167,,LUAD324
126,LUAD346,,LUAD152
127,LUSC319,,LUSC74
128,LUSC79,,LUAD230
129,LUAD9,,LUSC339
130,LUSC177,,LUAD286
131,LUAD280,,LUSC504
132,LUAD77,,LUSC431
133,LUSC342,,LUAD222
134,LUSC6,,LUSC320
135,LUSC25,,LUSC402
136,LUSC62,,LUAD287
137,LUSC497,,LUAD522
138,LUSC129,,LUSC297
139,LUSC322,,LUSC487
140,LUSC452,,LUAD201
141,LUAD183,,LUSC17
142,LUAD48,,LUSC255
143,LUSC446,,LUSC49
144,LUSC109,,LUAD40
145,LUAD450,,LUSC254
146,LUSC5,,LUSC218
147,LUSC493,,LUAD416
148,LUSC435,,LUAD167
149,LUAD296,,LUAD528
150,LUAD361,,LUAD392
151,LUAD251,,LUAD407
152,LUSC301,,LUSC97
153,LUAD397,,LUSC394
154,LUSC393,,LUSC88
155,LUAD65,,LUSC475
156,LUSC213,,LUSC131
157,LUAD194,,LUAD404
158,LUSC456,,LUSC154
159,LUSC496,,LUSC13
160,LUAD294,,LUAD215
161,LUAD134,,LUAD123
162,LUAD332,,LUAD478
163,LUAD237,,LUSC223
164,LUAD155,,LUAD171
165,LUAD239,,LUAD403
166,LUAD364,,LUAD47
167,LUAD198,,LUAD228
168,LUAD473,,LUAD27
169,LUSC164,,LUAD451
170,LUSC162,,LUAD126
171,LUAD365,,LUSC172
